PA,SZ,TOD,Hse,Time
Ang Mo Kio,Cheng San,HDB 1- and 2-Room Flats,460,2000
Ang Mo Kio,Cheng San,HDB 3-Room Flats,6090,2000
Ang Mo Kio,Cheng San,HDB 4-Room Flats,2180,2000
Ang Mo Kio,Cheng San,HDB 5-Room and Executive Flats,860,2000
Ang Mo Kio,Cheng San,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Cheng San,Landed Properties,0,2000
Ang Mo Kio,Cheng San,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Cheng San,Others,130,2000
Ang Mo Kio,Chong Boon,HDB 1- and 2-Room Flats,700,2000
Ang Mo Kio,Chong Boon,HDB 3-Room Flats,5330,2000
Ang Mo Kio,Chong Boon,HDB 4-Room Flats,2640,2000
Ang Mo Kio,Chong Boon,HDB 5-Room and Executive Flats,970,2000
Ang Mo Kio,Chong Boon,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Chong Boon,Landed Properties,0,2000
Ang Mo Kio,Chong Boon,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Chong Boon,Others,180,2000
Ang Mo Kio,Kebun Bahru,HDB 1- and 2-Room Flats,950,2000
Ang Mo Kio,Kebun Bahru,HDB 3-Room Flats,4510,2000
Ang Mo Kio,Kebun Bahru,HDB 4-Room Flats,1890,2000
Ang Mo Kio,Kebun Bahru,HDB 5-Room and Executive Flats,620,2000
Ang Mo Kio,Kebun Bahru,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Kebun Bahru,Landed Properties,330,2000
Ang Mo Kio,Kebun Bahru,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Kebun Bahru,Others,140,2000
Ang Mo Kio,Seletar,HDB 1- and 2-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 3-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 4-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 5-Room and Executive Flats,0,2000
Ang Mo Kio,Seletar,HUDC Flats (excluding those privatised),0,2000
